title,descr,asg_lvl,union_descr,min_rate,max_rate,group,level,midpoint,pct75,mid_overall,pct_75_overall
1002A,ADMINISTRATIVE STAFF ANALYST (,00,STAFF ANALYSTS,98140,131956,policy,senior,115048,123502,111660,119364
12626,STAFF ANALYST,02,STAFF ANALYSTS,83484,92976,policy,junior,88230,90603,88230,90603
12627,ASSOCIATE STAFF ANALYST,00,STAFF ANALYSTS,94364,122180,policy,junior,108272,115226,111660,119364
13632,COMPUTER SPECIALIST (SOFTWARE),02,ACCOUNTING AND EDP TITLES DC37,110499,123796,web,junior,117147.5,120471.75,119051,122429.25
13632,COMPUTER SPECIALIST (SOFTWARE),02,ACCOUNTING AND EDP TITLES DC37,114090,127819,web,junior,120954.5,124386.75,119051,122429.25
13632,COMPUTER SPECIALIST (SOFTWARE),03,ACCOUNTING AND EDP TITLES DC37,119330,134622,web,senior,126976,130799,129039.25,132924.375
13632,COMPUTER SPECIALIST (SOFTWARE),03,ACCOUNTING AND EDP TITLES DC37,123208,138997,web,senior,131102.5,135049.75,129039.25,132924.375
13632,COMPUTER SPECIALIST (SOFTWARE),04,ACCOUNTING AND EDP TITLES DC37,128010,154141,web,senior,141075.5,147608.25,143368,150007
13632,COMPUTER SPECIALIST (SOFTWARE),04,ACCOUNTING AND EDP TITLES DC37,132170,159151,web,senior,145660.5,152405.75,143368,150007
21744,CITY RESEARCH SCIENTIST,02,ENGINEERS DC 37 L375 CSTG,100904,110120,data,junior,105512,107816,105512,107816
21744,CITY RESEARCH SCIENTIST,03,ENGINEERS DC 37 L375 CSTG,112883,128995,data,senior,120939,124967,120939,124967
21744,CITY RESEARCH SCIENTIST,4A,ENGINEERS DC 37 L375 CSTG,126000,142112,data,,134056,138084,134056,138084
21744,CITY RESEARCH SCIENTIST,4B,ENGINEERS DC 37 L375 CSTG,129327,163459,data,,146393,154926,146393,154926
30085,*ATTORNEY AT LAW,02,ATTORNEYSCSBA 237 IBT,95450,124381,counsel,junior,109915.5,117148.25,108185.75,115304.625
30085,*ATTORNEY AT LAW,03,ATTORNEYSCSBA 237 IBT,106404,136593,counsel,senior,121498.5,129045.75,119586.25,127014.625
30085,*ATTORNEY AT LAW,04,ATTORNEYSCSBA 237 IBT,111133,146052,counsel,senior,128592.5,137322.25,126568.75,135161.125
30087,AGENCY ATTORNEY,02,ATTORNEYSCSBA 237 IBT,95450,124381,counsel,junior,109915.5,117148.25,108185.75,115304.625
30087,AGENCY ATTORNEY,03,ATTORNEYSCSBA 237 IBT,106404,136593,counsel,senior,121498.5,129045.75,119586.25,127014.625
30087,AGENCY ATTORNEY,04,ATTORNEYSCSBA 237 IBT,111133,146052,counsel,senior,128592.5,137322.25,126568.75,135161.125
3008B,AGENCY ATTORNEY DC37,02,CLERICAL TITLES DC37,80473,105880,counsel,junior,93176.5,99528.25,108185.75,115304.625
3008B,AGENCY ATTORNEY DC37,03,CLERICAL TITLES DC37,90093,116601,counsel,senior,103347,109974,119586.25,127014.625
3008B,AGENCY ATTORNEY DC37,04,CLERICAL TITLES DC37,94246,124905,counsel,senior,109575.5,117240.25,126568.75,135161.125
3008G,*AGENCY ATTORNEY,02,ATTORNEYSCSBA 237 IBT,92446,120466,counsel,junior,106456,113461,108185.75,115304.625
3008G,*AGENCY ATTORNEY,03,ATTORNEYSCSBA 237 IBT,103055,132293,counsel,senior,117674,124983.5,119586.25,127014.625
3008G,*AGENCY ATTORNEY,04,ATTORNEYSCSBA 237 IBT,107635,141455,counsel,senior,124545,133000,126568.75,135161.125
95711,SENIOR IT ARCHITECT,00,ACCOUNTING AND EDP TITLES DC37,1e+05,180000,web,,140000,160000,133750,156875
95714,IT INFRASTRUCTURE ENGINEER,00,ACCOUNTING AND EDP TITLES DC37,75000,180000,web,,127500,153750,133750,156875
